Run,LibraryName
SRR21556054,JK02
SRR21556053,JK08
SRR21556052,JK100
SRR21556051,JK103
SRR21556050,JK109
SRR21556045,JK11
SRR21556049,JK112
SRR21556048,JK115
SRR21556046,JK118
SRR21556044,JK121
SRR21556043,JK124
SRR21556042,JK127
SRR21556041,JK133
SRR21556040,JK136
SRR21556039,JK139
SRR21556035,JK14
SRR21556038,JK142
SRR21556037,JK145
SRR21556034,JK151
SRR21556033,JK17
SRR21556032,JK20
SRR21556031,JK23
SRR21556030,JK26
SRR21556029,JK29
SRR21556028,JK32
SRR21556026,JK41
SRR21555978,JK43
SRR21555976,JK44
SRR21555975,JK46
SRR21555974,JK52
SRR21555973,JK58
SRR21555972,JK61
SRR21555971,JK67
SRR21555970,JK70
SRR21555969,JK73
SRR21555968,JK76
SRR21555967,JK85
SRR21555965,JK88
SRR21555964,JK91
SRR21555963,JK94